"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene"
"gene:Solyc00g500023.1",34.8111543311314,-0.609401665053824,1.17408232994377,-0.519045086968485,0.603729300347257,0.785183112812873,"gene:Solyc00g500023.1"
"gene:Solyc00g500022.1",23.664272378852,0.0323042404536566,0.431610592982587,0.0748458007724568,0.940337400241432,0.979017429269048,"gene:Solyc00g500022.1"
"gene:Solyc00g180440.2",5.38914257935234,1.69805635544561,1.62084357120204,1.04763740660445,0.294805696234269,0.529830173627629,"gene:Solyc00g180440.2"
"gene:Solyc00g500020.1",10.0607780701087,-0.820624032277375,0.904824038928559,-0.906943225391216,0.364436821290811,0.598579810261591,"gene:Solyc00g500020.1"
"gene:Solyc00g500021.1",193.190959037808,-0.586992905247377,0.310065038454866,-1.89312831969871,0.0583408068913891,0.180601162562235,"gene:Solyc00g500021.1"
"gene:Solyc00g500028.1",2.9245076368069,0.91571463327496,2.58912427200374,0.353677358470818,0.723580692591231,0.864445641287154,"gene:Solyc00g500028.1"
"gene:Solyc00g500026.1",0.372934966120094,-0.197836344175606,1.6658726542541,-0.118758383883904,0.905466780130366,NA,"gene:Solyc00g500026.1"
"gene:Solyc00g500024.1",38.4245608645803,-0.859097727940998,0.509765798815022,-1.68527925949135,0.0919347053494931,0.249230622149723,"gene:Solyc00g500024.1"
"gene:Solyc00g500025.1",3.39148462206628,-0.344688446666735,1.13926153569055,-0.302554273859344,0.762229566182495,0.887021337520321,"gene:Solyc00g500025.1"
"gene:Solyc00g500036.1",44.0436248353652,1.36347008412301,0.328774704502486,4.14712587510727,3.36674985193313e-05,0.000368121311193972,"gene:Solyc00g500036.1"
"gene:Solyc00g500038.1",0.661018225809951,2.4618359247366,4.31720009403224,0.570239013971034,0.568515598238973,NA,"gene:Solyc00g500038.1"
"gene:Solyc00g500029.1",3.26534188944638,2.07682142361014,2.67839746744056,0.775397023353194,0.438105093496816,0.660479314388073,"gene:Solyc00g500029.1"
"gene:Solyc00g500030.1",5.13414028182163,0.603676615931032,1.39183506352331,0.433727121662589,0.664486609199217,0.826812666919347,"gene:Solyc00g500030.1"
"gene:Solyc00g500031.1",17.8168641587897,0.0920907086046457,0.963315348990417,0.095597675985501,0.923840111042863,0.97120211873416,"gene:Solyc00g500031.1"
"gene:Solyc00g500032.1",22.3827874986535,-0.256965253542989,0.705019577047619,-0.364479600153902,0.715499904442562,0.859327365350064,"gene:Solyc00g500032.1"
"gene:Solyc00g500033.1",13.4747964662816,0.0362665726945641,0.472078061141762,0.0768232537789413,0.938764151562258,0.977834832904044,"gene:Solyc00g500033.1"
"gene:Solyc00g500034.1",14.0316912719491,-0.426446578702985,0.562953008904455,-0.757517185196113,0.448740074089994,0.669719581370232,"gene:Solyc00g500034.1"
"gene:Solyc00g500035.1",29.1933573583421,1.32176872863867,0.40475601608957,3.26559378019516,0.00109234828104355,0.00763255886699708,"gene:Solyc00g500035.1"
"gene:Solyc00g500003.1",64.8359531490387,3.5854980101542,0.25645882551142,13.9807940046677,2.04197092479729e-44,1.30025185440316e-41,"gene:Solyc00g500003.1"
"gene:Solyc00g500037.1",6.44233814141696,-0.447542877774259,1.20786915865661,-0.370522646899946,0.710993105618962,0.856569579539642,"gene:Solyc00g500037.1"
"gene:Solyc00g500039.1",188.819899139308,0.438810718090965,0.381383143786094,1.15057711710794,0.249906251460884,0.480885170150788,"gene:Solyc00g500039.1"
"gene:Solyc00g500040.1",0.213350186809844,-0.197868404436168,4.40735632394895,-0.0448950322806847,0.964190976519687,NA,"gene:Solyc00g500040.1"
"gene:Solyc00g160280.1",5.85006096788699,-2.7258093943301,1.13606571299421,-2.39934130847588,0.016424597353332,0.0695408542709667,"gene:Solyc00g160280.1"
"gene:Solyc00g500041.1",11.484492661952,-0.500251555757575,0.745449679366032,-0.671073540715738,0.502173681790104,0.711547495360728,"gene:Solyc00g500041.1"
"gene:Solyc00g500042.2",7.75589623745233,-0.440341552865095,1.07926857064562,-0.407999977801338,0.683273691199535,0.840014912404997,"gene:Solyc00g500042.2"
"gene:Solyc00g500043.1",3.13065123126063,-0.442872942167258,3.00521081923078,-0.1473683441219,0.882841290417768,0.951202720822813,"gene:Solyc00g500043.1"
"gene:Solyc00g500044.1",188.528645232103,0.480701236379212,0.407517712918524,1.17958366260099,0.238165843895004,0.467097380083257,"gene:Solyc00g500044.1"
"gene:Solyc00g500046.1",9.15642969038797,-0.149535804150137,0.987377171049187,-0.151447500038147,0.879622721936505,0.949673785347939,"gene:Solyc00g500046.1"
"gene:Solyc00g500047.1",74.0373389134704,1.03666173236377,0.16171182777049,6.41054984447432,1.44995737846493e-10,4.6779491582288e-09,"gene:Solyc00g500047.1"
"gene:Solyc00g277510.2",118.044739396184,-1.87789232708122,0.997941189908766,-1.88176652699634,0.0598677224888407,0.18398770125595,"gene:Solyc00g277510.2"
"gene:Solyc00g500048.1",10.222018822715,-0.90440184067994,0.785720807770065,-1.1510473335264,0.249712763108762,0.480658737671535,"gene:Solyc00g500048.1"
"gene:Solyc00g500049.1",9.02487696711642,0.126417586118326,0.374378794004559,0.337672934853212,0.735609672812066,0.871396651825268,"gene:Solyc00g500049.1"
"gene:Solyc00g500050.1",34.5325031787326,1.65936892026117,0.934787861647349,1.77512886970624,0.0758766111030652,0.216947736518382,"gene:Solyc00g500050.1"
"gene:Solyc00g500051.1",13.4502625630166,-0.794790112773134,0.579906960256982,-1.37054763478081,0.170516016424902,0.379086369848709,"gene:Solyc00g500051.1"
